time,Xc,LP,Q
0,0.5,0.5,1.50E-10
0,0.5,0.5,1.50E-10
5,0.5,0.5,1.50E-10
5,0.2,0.5,1.50E-10
10,0.2,0.5,1.50E-10
10,0.25,0.5,1.50E-10
11.5,0.25,0.5,1.50E-10
11.5,0.3,0.5,1.50E-10
13,0.3,0.5,1.50E-10
13,0.35,0.5,1.50E-10
14.5,0.35,0.5,1.50E-10
14.5,0.4,0.5,1.50E-10
16,0.4,0.5,1.50E-10
16,0.45,0.5,1.50E-10
17.5,0.45,0.5,1.50E-10
17.5,0.5,0.5,1.50E-10
19,0.5,0.5,1.50E-10
19,0.55,0.5,1.50E-10
20.5,0.55,0.5,1.50E-10
20.5,0.6,0.5,1.50E-10
22,0.6,0.5,1.50E-10
22,0.65,0.5,1.50E-10
23.5,0.65,0.5,1.50E-10
23.5,0.7,0.5,1.50E-10
25,0.7,0.5,1.50E-10
25,0.75,0.5,1.50E-10
26.5,0.75,0.5,1.50E-10
26.5,0.775,0.5,1.50E-10
28,0.775,0.5,1.50E-10
28,0.8,0.5,1.50E-10
36,0.8,0.5,1.50E-10
36,0.2,0.5,1.50E-10
44,0.2,0.5,1.50E-10
44,0.9,0.5,1.50E-10
52,0.9,0.5,1.50E-10
52,0.1,0.5,1.50E-10
60,0.1,0.5,1.50E-10
60,0.95,0.5,1.50E-10
68,0.95,0.5,1.50E-10
68,0.05,0.5,1.50E-10
76,0.05,0.5,1.50E-10
76,0.8,0.2,1.50E-10
84,0.8,0.2,1.50E-10
84,0.2,0.2,1.50E-10
92,0.2,0.2,1.50E-10
92,0.9,0.2,1.50E-10
100,0.9,0.2,1.50E-10
100,0.1,0.2,1.50E-10
108,0.1,0.2,1.50E-10
108,0.95,0.2,1.50E-10
116,0.95,0.2,1.50E-10
116,0.05,0.2,1.50E-10
124,0.05,0.2,1.50E-10
124,0.8,0.8,1.50E-10
132,0.8,0.8,1.50E-10
132,0.2,0.8,1.50E-10
140,0.2,0.8,1.50E-10
140,0.9,0.8,1.50E-10
148,0.9,0.8,1.50E-10
148,0.1,0.8,1.50E-10
156,0.1,0.8,1.50E-10
156,0.95,0.8,1.50E-10
164,0.95,0.8,1.50E-10
164,0.05,0.8,1.50E-10
172,0.05,0.8,1.50E-10
172,0.5,0.5,1.50E-10
182,0.5,0.5,1.50E-10
182,1.5,0.5,1.50E-10
202,1.5,0.5,1.50E-10
